file,line,infraction
"/home/remcostoeten/sites/easy-resume-builder/src/components/editing/professional-editing-area.tsx",41,Arrow Function Constant
"/home/remcostoeten/sites/easy-resume-builder/components/ui/carousel.tsx",62,Arrow Function Constant
"/home/remcostoeten/sites/easy-resume-builder/src/components/sidebar/professional-sidebar.tsx",120,Arrow Function Constant
"/home/remcostoeten/sites/easy-resume-builder/src/components/ui/badge.tsx",25,Interface Keyword
"/home/remcostoeten/sites/easy-resume-builder/next.config.mjs",18,Export Default Statement
"/home/remcostoeten/sites/easy-resume-builder/src/components/sections/professional-personal-info.tsx",41,Inline Comment
"/home/remcostoeten/sites/easy-resume-builder/src/components/sections/professional-personal-info.tsx",44,Inline Comment
"/home/remcostoeten/sites/easy-resume-builder/src/components/sections/professional-personal-info.tsx",153,Inline Comment
"/home/remcostoeten/sites/easy-resume-builder/features/welcome/hooks/use-welcome-modal.ts",18,Interface Keyword
"/home/remcostoeten/sites/easy-resume-builder/postcss.config.mjs",1,Inline Comment

